Index,Location,Photo Link,Date,Instructions,Budget,Suggested Items,Affiliate Links
1,Home,https://images.unsplash.com/photo-1587314168485-3236d6710814?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1270&q=80,"Make Dessert, with a twist!",Blindfold your significant other and be their eyes. Build trust in this quirky cooking experiment. Choose yours and your partners favorite dessert and enjoy laughs as you help your partner make a delicious treat while igniting some romantic flames. Pair with wine and enjoy. Take photos and post to your memory!,Low,Blindfold,https://www.amazon.com/s?k=blindfold&ref=nb_sb_noss_2
2,Outdoors,https://images.unsplash.com/photo-1590166771575-5a50c6dd507b?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1235&q=80,Picnic in the park,Every one loves a romantic picnic meant for watching the sunset. Pick your favorite spot and bring some light music and a bottle of win to set the mood.,Low,Picnic Backpack,https://www.amazon.com/s?k=picnic&ref=nb_sb_noss_2
3,Outdoors,https://images.unsplash.com/photo-1534817549988-aa0050486367?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1234&q=80,Do some stargazing,"Get a book on constellations, aim your telescope at the stars see how many you can pick out.",Low,"Stargazing book, Telescope",https://www.amazon.com/s?k=stargazing&ref=nb_sb_noss_2
5,Home,https://images.unsplash.com/photo-1599751496697-7966846321cf?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1305&q=80,Have a photoshoot,Have a shameless evening of movie montage fashion show. Go through your significant other's wardrobe and pick outfits for him/her to strut their stuff around the living room. Use your phone camera and your imagination. If you want to be extra arttistic buy a polaroid and begin and cute polaroid wall of you and your significant other.,Medium,Polaroid Camera,https://www.amazon.com/s?k=polaroid+camera&ref=nb_sb_noss_1
6,Outdoors,https://images.unsplash.com/photo-1601418630998-e82ea37daf66?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1234&q=80,Go Rock Climbing,Feeling adventurous? Find a rock climbing gym or quarry,Medium,Climbing shoes,https://www.amazon.com/s?k=climbing+shoes&ref=nb_sb_noss_2
7,Home,https://images.unsplash.com/photo-1556910103-1c02745aae4d?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Cooking with Sous Vide,Want to be a top chef? Get out the Sous Vide and try a something outside your comfort zone. Pick out each others out fit and have a dinner date in style with a black tie and gown theme.,High,Sous Vide,https://www.amazon.com/s?k=sous+vide&ref=nb_sb_noss_2
8,Outdoors,https://images.unsplash.com/photo-1579479942791-76a0a658faa2?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1234&q=80,Go Ice Skating,Find a local public rink and enjoy to time on the ice. Bundle up in your favorite hoodies and outerware.,Medium,Ice Skates,https://www.amazon.com/s?k=ice+skates&ref=nb_sb_noss_1
9,Outdoors,https://images.unsplash.com/photo-1468888702840-41a24ac1a9f9?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1266&q=80,Have a Water Balloon Fight,Remember being a kid? Why not make an afternoon out of water balloon or water gun fights. Keep in mind this date idea can go by quick so definitely make a plan to follow up with sun bathing and relaxation.,Low,"Sunscreen, Waterballoons, Water guns",https://www.amazon.com/s?k=water+gun&ref=nb_sb_noss_2
10,Outdoors,https://images.unsplash.com/photo-1595435742656-5272d0b3fa82?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1300&q=80,Plan a playdate on the Tennis Courts,Looking for some friendly competition with your significant other. Maybe you feel like settling a score. Tennis is the game for you! Challenge,Medium,Tennis Racket,https://www.amazon.com/s?k=tennis&ref=nb_sb_noss_2
11,Outdoors,https://images.unsplash.com/photo-1562206513-6a81cfc73936?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Go Camping,"Are you and your significant other outdoorsy? Grab a tent, smores, a flashlight, and you imagination for scary stories. Make finger puppets in the night after the sun goes down and enjoy a night away from technology and the business of everyday life.",Medium,"Tent, Flashlight",https://www.amazon.com/s?k=camping&ref=nb_sb_noss_2
